sku,brand,product_name,category,gender,season,region,date,competitor_price,our_cost,min_margin,our_current_price,size,color,material,store,store_id
AD-RUN-Y-001,Adidas,Adidas Speed Boost Elite (Youth),Running,Youth,Summer,South,8/4/2024,50.84,39.81,0.27,47.39,4Y,Gray,Synthetic,DSW,Store_76
VN-TRN-U-002,Vans,Vans Iron Sole (Unisex),Training,Unisex,Winter,South,2/16/2025,46.32,38.39,0.25,49.82,12,Multicolor,Synthetic,Foot Locker,Store_98
RB-BSK-M-003,Reebok,Reebok Court Dominator (Men's),Basketball,Men's,Winter,West Coast,1/8/2025,104.44,70.94,0.24,118.8,13,Blue,Synthetic,Zappos,Store_06
SK-SND-W-004,Skechers,Skechers Sun Slide (Women's),Sandals,Women's,Summer,Northeast,7/13/2024,38.89,20.67,0.29,39.4,6.5,Navy,Leather,Amazon,Store_13
PU-HIK-M-005,Puma,Puma Alpine Step (Men's),Hiking,Men's,Summer,Southwest,7/13/2024,93.5,61.5,0.35,100.4,9.5,Gray,Gore-Tex,Nike Store,Store_60
RB-RUN-W-006,Reebok,Reebok Ultra Stride (Women's),Running,Women's,Spring,Northeast,3/24/2025,163.59,78.92,0.25,138.95,6.5,Green,Knit,Amazon,Store_73
AS-CSL-Y-007,ASICS,ASICS Urban Walker (Youth),Casual,Youth,Spring,South,4/22/2024,79.44,57.9,0.26,70.32,6.5Y,Tan,Suede,Dick's Sporting Goods,Store_47
AD-CSL-W-008,Adidas,Adidas Chill Step (Women's),Casual,Women's,Spring,West Coast,5/8/2024,118.44,56.96,0.38,106.07,9,White,Synthetic,Kohl's,Store_68
VN-HIK-Y-009,Vans,Vans Terrain Master (Youth),Hiking,Youth,Spring,Northeast,3/24/2025,115.45,83.98,0.33,111.24,7Y,Green,Leather,Foot Locker,Store_93
AD-HIK-W-010,Adidas,Adidas Terrain Master (Women's),Hiking,Women's,Summer,South,6/14/2024,151.06,72.43,0.28,124.37,10,Gray,Gore-Tex,Foot Locker,Store_77
SK-TRN-M-011,Skechers,Skechers Train Hard (Men's),Training,Men's,Fall,South,9/29/2024,93.8,62.63,0.22,89.04,11.5,White,Mesh,DSW,Store_98
SK-BOT-W-012,Skechers,Skechers Storm Shield (Women's),Boots,Women's,Fall,Southwest,11/28/2024,116.66,73.02,0.33,123.88,8,Navy,Synthetic,Dick's Sporting Goods,Store_86
AD-SND-M-013,Adidas,Adidas Comfort Float (Men's),Sandals,Men's,Winter,Southwest,12/28/2024,42.25,29.15,0.29,36.17,9.5,Navy,Synthetic,Foot Locker,Store_10
AD-TRN-Y-014,Adidas,Adidas Gym Pro (Youth),Training,Youth,Winter,West Coast,2/17/2025,64.16,48.28,0.27,65.4,7Y,Tan,Mesh,Amazon,Store_61
BR-LFS-M-015,Brooks,Brooks Retro Classic (Men's),Lifestyle,Men's,Spring,Northeast,4/7/2024,86.29,49.45,0.27,84.5,8.5,Green,Suede,Amazon,Store_25
AD-LFS-M-016,Adidas,Adidas Vintage Wave (Men's),Lifestyle,Men's,Summer,Northeast,7/27/2024,75.76,47.43,0.29,86.91,8.5,Tan,Canvas,Amazon,Store_22
BR-RUN-U-017,Brooks,Brooks FlexRun 2.0 (Unisex),Running,Unisex,Spring,Midwest,4/7/2024,97.76,54.91,0.39,93.05,11,Red,Knit,Kohl's,Store_20
RB-RUN-M-018,Reebok,Reebok FlexRun 2.0 (Men's),Running,Men's,Winter,Southwest,2/11/2024,134.15,86.53,0.23,114.77,9,Tan,Synthetic,Foot Locker,Store_66
BR-BSK-W-019,Brooks,Brooks Court Vision (Women's),Basketball,Women's,Fall,Southwest,10/25/2024,143.22,77.61,0.29,130.46,6.5,Black,Mesh,Dick's Sporting Goods,Store_85
RB-TRN-Y-020,Reebok,Reebok Gym Pro (Youth),Training,Youth,Summer,West Coast,8/22/2024,73.23,56.85,0.29,69.81,6Y,Red,Synthetic,DSW,Store_02
VN-HIK-W-021,Vans,Vans Trail Blazer (Women's),Hiking,Women's,Spring,Midwest,3/2/2025,145.55,75.16,0.24,126.72,8,Navy,Synthetic,Nike Store,Store_57
VN-RUN-Y-022,Vans,Vans Speed Boost Elite (Youth),Running,Youth,Spring,Northeast,5/24/2024,93.13,72.48,0.29,85.86,4Y,Red,Mesh,Nike Store,Store_35
SK-LFS-Y-023,Skechers,Skechers Retro Classic (Youth),Lifestyle,Youth,Winter,Northeast,1/29/2025,36.99,33.23,0.34,36.5,3.5Y,Green,Suede,Foot Locker,Store_43
BR-RUN-M-024,Brooks,Brooks CloudRun X (Men's),Running,Men's,Fall,Northeast,10/9/2024,98.5,46.44,0.27,83.29,8,Gray,Synthetic,Academy Sports,Store_75
NK-SND-W-025,Nike,Nike Coastal Drift (Women's),Sandals,Women's,Winter,South,1/18/2025,27.53,17.71,0.41,22.73,10,White,Leather,Dick's Sporting Goods,Store_80
NB-BOT-M-026,New Balance,New Balance Storm Shield (Men's),Boots,Men's,Winter,South,2/7/2025,172.61,94.99,0.29,168.54,9.5,Blue,Suede,Zappos,Store_21
PU-LFS-Y-027,Puma,Puma Heritage Runner (Youth),Lifestyle,Youth,Spring,Midwest,5/22/2024,74.58,62.57,0.36,68.59,5Y,Navy,Canvas,Dick's Sporting Goods,Store_43
BR-SND-M-028,Brooks,Brooks Summer Stride (Men's),Sandals,Men's,Fall,Northeast,11/1/2024,38.14,24.43,0.35,35.5,10,Gray,Synthetic,Foot Locker,Store_14
VN-BSK-U-029,Vans,Vans Hoop Legend (Unisex),Basketball,Unisex,Fall,Southwest,9/23/2024,178.24,100.31,0.27,158.5,11,Red,Leather,Dick's Sporting Goods,Store_01
PU-SND-U-030,Puma,Puma Coastal Drift (Unisex),Sandals,Unisex,Summer,Northeast,6/2/2024,56.47,26.17,0.31,50.97,8,Blue,Synthetic,DSW,Store_93
VN-CSL-W-031,Vans,Vans City Stroll (Women's),Casual,Women's,Spring,West Coast,3/2/2025,40.2,22.01,0.24,37.76,8,Green,Leather,Dick's Sporting Goods,Store_71
RB-LFS-U-032,Reebok,Reebok Vintage Wave (Unisex),Lifestyle,Unisex,Winter,West Coast,2/13/2024,58.15,39.35,0.31,65.74,12,Navy,Knit,Nike Store,Store_85
PU-HIK-W-033,Puma,Puma Summit Grip (Women's),Hiking,Women's,Spring,South,3/11/2025,158.49,86.42,0.28,149.1,7.5,Black,Leather,Kohl's,Store_79
BR-LFS-U-034,Brooks,Brooks Heritage Runner (Unisex),Lifestyle,Unisex,Spring,South,3/31/2024,101.78,60.16,0.35,96.36,12,Black,Canvas,Dick's Sporting Goods,Store_29
AD-LFS-W-035,Adidas,Adidas Vintage Wave (Women's),Lifestyle,Women's,Summer,West Coast,8/16/2024,117.47,63.89,0.36,124.19,9.5,Tan,Suede,Dick's Sporting Goods,Store_71
PU-HIK-U-036,Puma,Puma Terrain Master (Unisex),Hiking,Unisex,Spring,South,5/19/2024,88,64.79,0.35,97.15,11,Brown,Leather,Zappos,Store_31
BR-CSL-W-037,Brooks,Brooks Weekender (Women's),Casual,Women's,Winter,Northeast,2/1/2024,55.47,29.45,0.31,52.03,10,Green,Suede,Kohl's,Store_54
NK-BOT-U-038,Nike,Nike Urban Chelsea (Unisex),Boots,Unisex,Winter,Northeast,1/17/2025,254.55,97.22,0.39,246.98,12,Red,Suede,Dick's Sporting Goods,Store_69
SK-BOT-U-039,Skechers,Skechers Tough Terrain (Unisex),Boots,Unisex,Spring,Northeast,3/25/2024,158.24,104.31,0.33,151.05,11,Blue,Synthetic,Dick's Sporting Goods,Store_93
BR-RUN-M-040,Brooks,Brooks Speed Boost Elite (Men's),Running,Men's,Summer,West Coast,6/16/2024,94.09,50.06,0.3,95.01,8,Brown,Mesh,Zappos,Store_49
BR-HIK-M-041,Brooks,Brooks Trail Blazer (Men's),Hiking,Men's,Winter,West Coast,2/5/2024,165.26,87.06,0.34,137.56,10.5,Tan,Leather,Amazon,Store_84
PU-RUN-W-042,Puma,Puma Speed Boost Elite (Women's),Running,Women's,Winter,South,12/24/2024,92.53,52.61,0.27,76.69,6.5,Brown,Synthetic,Amazon,Store_60
AD-CSL-Y-043,Adidas,Adidas Chill Step (Youth),Casual,Youth,Spring,Northeast,4/11/2024,32.13,24.74,0.36,36.2,6.5Y,Black,Suede,Dick's Sporting Goods,Store_92
SK-BSK-M-044,Skechers,Skechers Court Vision (Men's),Basketball,Men's,Fall,Midwest,11/27/2024,87.82,63.5,0.32,98.78,10.5,Green,Mesh,DSW,Store_65
RB-LFS-W-045,Reebok,Reebok Heritage Runner (Women's),Lifestyle,Women's,Summer,West Coast,8/11/2024,97.38,61.03,0.3,103.5,10,Tan,Suede,Kohl's,Store_60
AD-HIK-U-046,Adidas,Adidas Peak Walker (Unisex),Hiking,Unisex,Winter,South,1/15/2024,99.11,72.72,0.31,101,11,Multicolor,Gore-Tex,Dick's Sporting Goods,Store_44
SK-SND-Y-047,Skechers,Skechers Coastal Drift (Youth),Sandals,Youth,Spring,Southwest,5/3/2024,42.74,31.28,0.27,38.66,3.5Y,Red,Synthetic,Amazon,Store_11
AS-LFS-M-048,ASICS,ASICS Street Edge (Men's),Lifestyle,Men's,Fall,Northeast,10/24/2024,90.16,42.76,0.32,73.98,9.5,Navy,Knit,Zappos,Store_85
VN-SND-Y-049,Vans,Vans Summer Stride (Youth),Sandals,Youth,Spring,West Coast,4/8/2024,33.65,21.57,0.3,30.44,5Y,Red,Leather,DSW,Store_93
PU-TRN-U-050,Puma,Puma Flex Force (Unisex),Training,Unisex,Spring,Midwest,3/2/2025,52.33,39.76,0.25,61.19,10,Multicolor,Knit,Zappos,Store_13
VN-CSL-Y-051,Vans,Vans Street Classic (Youth),Casual,Youth,Spring,Northeast,3/22/2025,27.06,22.44,0.24,27.72,4.5Y,Tan,Suede,Kohl's,Store_14
NK-HIK-U-052,Nike,Nike Trail Blazer (Unisex),Hiking,Unisex,Spring,Northeast,3/17/2024,162.12,88.56,0.41,172.13,6,Green,Synthetic,Foot Locker,Store_20
VN-BOT-W-053,Vans,Vans Tough Terrain (Women's),Boots,Women's,Fall,Southwest,10/18/2024,190.44,89.61,0.28,158.62,8,Brown,Suede,Dick's Sporting Goods,Store_40
PU-TRN-Y-054,Puma,Puma Gym Pro (Youth),Training,Youth,Summer,Northeast,7/28/2024,58.91,50.02,0.3,62.96,4Y,Navy,Mesh,Nike Store,Store_01
SK-LFS-M-055,Skechers,Skechers Street Edge (Men's),Lifestyle,Men's,Spring,South,4/25/2024,70.71,53.91,0.33,80.68,11,Multicolor,Leather,DSW,Store_70
NB-HIK-Y-056,New Balance,New Balance Trail Blazer (Youth),Hiking,Youth,Fall,West Coast,9/13/2024,129.3,75,0.3,109.66,5.5Y,Brown,Gore-Tex,Dick's Sporting Goods,Store_35
RB-HIK-M-057,Reebok,Reebok Summit Grip (Men's),Hiking,Men's,Winter,Northeast,1/21/2024,121.2,86.16,0.24,119.57,8,Multicolor,Gore-Tex,Zappos,Store_74
SK-CSL-U-058,Skechers,Skechers Street Classic (Unisex),Casual,Unisex,Winter,West Coast,12/9/2024,39.14,25.77,0.22,37.88,9,Brown,Suede,Academy Sports,Store_42
BR-RUN-U-059,Brooks,Brooks Ultra Stride (Unisex),Running,Unisex,Winter,Northeast,2/26/2025,160.6,94.32,0.34,160.14,6,Red,Knit,Dick's Sporting Goods,Store_66
PU-SND-U-060,Puma,Puma Sun Slide (Unisex),Sandals,Unisex,Summer,West Coast,8/12/2024,72.06,35.14,0.29,66.53,10,Navy,Leather,Nike Store,Store_37
PU-CSL-Y-061,Puma,Puma Street Classic (Youth),Casual,Youth,Summer,Southwest,8/24/2024,75.71,56.09,0.31,63.35,4Y,Tan,Synthetic,Amazon,Store_15
SK-HIK-U-062,Skechers,Skechers Peak Walker (Unisex),Hiking,Unisex,Spring,West Coast,4/7/2024,203.33,94.09,0.27,173.83,10,Navy,Synthetic,Nike Store,Store_50
SK-BOT-Y-063,Skechers,Skechers Urban Chelsea (Youth),Boots,Youth,Summer,Southwest,8/16/2024,72.27,84.08,0.25,68.76,5.5Y,Black,Suede,Kohl's,Store_20
