product_id,brand,product_name,category,date,competitor_price,our_cost,min_margin,our_current_price,size,color,material,store,store_id
1,Adidas,Adidas Court Vision,Basketball,11/25/2025,100.06,53.96,0.33,90.91,6,Green,Leather,DSW,Store_15
2,Vans,Vans Heritage Work Boot,Boots,11/10/2025,147.22,90.38,0.24,124.23,8,Brown,Synthetic,Foot Locker,Store_82
3,Reebok,Reebok Court Dominator,Basketball,12/7/2025,160.54,88.43,0.31,134.84,8.5,Green,Leather,Academy Sports,Store_32
4,Brooks,Brooks Court Vision,Basketball,2/25/2026,96.01,51.54,0.25,85.68,10.5,Red,Mesh,Academy Sports,Store_32
5,Adidas,Adidas Cross Trainer X,Training,11/11/2025,84.3,44.81,0.28,71.57,9.5,Green,Synthetic,Academy Sports,Store_32
6,Adidas,Adidas Chill Step,Casual,12/9/2025,100.2,54.63,0.33,91.96,9.5,Navy,Leather,Dick's Sporting Goods,Store_29
7,Nike,Nike Cross Trainer X,Training,11/24/2025,109.7,66.53,0.34,118.67,8,Blue,Synthetic,DSW,Store_15
8,ASICS,ASICS Tough Terrain,Boots,2/21/2026,132.92,80.03,0.33,126.08,7,Gray,Suede,Amazon,Store_95
9,Reebok,Reebok Gym Pro,Training,10/29/2025,59.79,36.11,0.24,56.47,6.5,Tan,Synthetic,Foot Locker,Store_82
10,Brooks,Brooks Classic Lace-Up,Boots,10/30/2025,148.61,89.31,0.32,138.33,8,Brown,Synthetic,Foot Locker,Store_82
11,Adidas,Adidas Peak Walker,Hiking,2/6/2026,137.64,83.1,0.32,128.77,6,Gray,Synthetic,Zappos,Store_36
12,Vans,Vans Gym Pro,Training,12/22/2025,84.57,49.54,0.21,70.78,10,Blue,Mesh,Foot Locker,Store_82
13,Skechers,Skechers Cross Trainer X,Training,2/2/2026,82.49,62.64,0.33,92.27,6.5,Navy,Knit,DSW,Store_15
14,ASICS,ASICS Daily Comfort,Casual,12/19/2025,61.7,33.96,0.32,52.97,7.5,Tan,Synthetic,Amazon,Store_95
15,ASICS,ASICS Hoop Legend,Basketball,2/28/2026,117.03,73.24,0.31,106.61,8.5,Navy,Leather,Foot Locker,Store_82
16,Nike,Nike Cross Trainer X,Training,12/11/2025,107.23,56.76,0.28,91.07,6.5,Black,Synthetic,Amazon,Store_95
17,Converse,Converse Heritage Runner,Lifestyle,10/25/2025,82.36,51.36,0.24,71.47,7.5,Brown,Knit,DSW,Store_15
18,Nike,Nike Court Dominator,Basketball,12/3/2025,75.66,51.5,0.33,82.76,8.5,Green,Mesh,DSW,Store_15
19,ASICS,ASICS Cross Trainer X,Training,2/16/2026,124.95,63.44,0.37,108.93,6.5,Brown,Knit,Foot Locker,Store_82
20,New Balance,New Balance Tough Terrain,Boots,10/16/2025,100.4,55.7,0.22,85.5,13,Brown,Leather,Dick's Sporting Goods,Store_29
21,ASICS,ASICS Peak Walker,Hiking,11/9/2025,88.72,54.49,0.26,80.11,11.5,Tan,Gore-Tex,Kohl's,Store_18
22,Nike,Nike Sun Slide,Sandals,10/15/2025,58.49,34.1,0.26,55.27,9.5,Black,Synthetic,Nike Store,Store_04
23,Puma,Puma All-Weather Boot,Boots,10/21/2025,129.37,72.25,0.29,109.9,10.5,Multicolor,Leather,Foot Locker,Store_82
24,Puma,Puma Beach Cruiser,Sandals,1/26/2026,27.25,19.27,0.31,26.97,7,Red,Leather,Zappos,Store_36
